gene,furthest_stage,pu_role
ACMSD,,unlabeled
ACO1,,unlabeled
ACO2,,unlabeled
ACOD1,,unlabeled
ACOT1,,unlabeled
ACOT11,,unlabeled
ACOT12,,unlabeled
ACOT13,,unlabeled
ACOT2,,unlabeled
ACOT4,,unlabeled
ACOT6,,unlabeled
ACOT7,,unlabeled
ACOT8,,unlabeled
ACOT9,,unlabeled
ACOX1,,unlabeled
ACOX2,,unlabeled
ACOX3,,unlabeled
ACOXL,,unlabeled
ACP1,,unlabeled
ACP2,,unlabeled
ACP3,,unlabeled
ACP4,,unlabeled
ACP5,,unlabeled
ACP6,,unlabeled
ACP7,,unlabeled
ACR,,unlabeled
ACRBP,,unlabeled
ACRV1,,unlabeled
ACSBG1,,unlabeled
ACSBG2,,unlabeled
ACSF2,,unlabeled
ACSF3,,unlabeled
ACSL1,,unlabeled
ACSL3,,unlabeled
ACSL4,,unlabeled
ACSL5,,unlabeled
ACSL6,,unlabeled
ACSM1,,unlabeled
ACSM2A,,unlabeled
ACSM2B,,unlabeled
ACSM3,,unlabeled
ACSM4,,unlabeled
ACSM5,,unlabeled
ACSM6,,unlabeled
ACSS1,,unlabeled
ACSS2,,unlabeled
ACSS3,,unlabeled
ACTA1,,unlabeled
ACTA2,,unlabeled
ACTB,,unlabeled
ACTBL2,,unlabeled
ACTC1,,unlabeled
ACTG1,,unlabeled
ACTG2,,unlabeled
ACTL10,,unlabeled
ACTL6A,,unlabeled
ACTL6B,,unlabeled
ACTL7A,,unlabeled
ACTL7B,,unlabeled
ACTL8,,unlabeled
ACTL9,,unlabeled
ACTN1,,unlabeled
ACTN2,,unlabeled
ACTN3,,unlabeled
ACTN4,,unlabeled
ACTR10,,unlabeled
ACTR1A,,unlabeled
ACTR1B,,unlabeled
ACTR2,,unlabeled
ACTR3,,unlabeled
ACTR3B,,unlabeled
ACTR3C,,unlabeled
ACTR5,,unlabeled
ACTR6,,unlabeled
ACTR8,,unlabeled
ACTRT1,,unlabeled
ACTRT2,,unlabeled
ACTRT3,,unlabeled
ACVR1,Approved,P
ACVR1B,,unlabeled
ACVR1C,,unlabeled
ACVR2A,,unlabeled
ACVR2B,Phase 3,trial_heldout
ACVRL1,,unlabeled
ACY1,,unlabeled
ACY3,,unlabeled
ACYP1,,unlabeled
ACYP2,,unlabeled
ADA,Approved,P
ADA2,,unlabeled
ADAD1,,unlabeled
ADAD2,,unlabeled
MAPDA,,unlabeled
ADAM10,,unlabeled
ADAM11,,unlabeled
ADAM12,,unlabeled
ADAM15,,unlabeled
ADAM17,Phase 2,trial_heldout
ADAM18,,unlabeled
ADAM19,,unlabeled
ADAM2,,unlabeled
ADAM20,,unlabeled
ADAM21,,unlabeled
ADAM22,,unlabeled
ADAM23,,unlabeled
ADAM28,,unlabeled
ADAM29,,unlabeled
ADAM30,,unlabeled
ADAM32,,unlabeled
ADAM33,,unlabeled
ADAM7,,unlabeled
ADAM8,,unlabeled
ADAM9,,unlabeled
ADAMDEC1,,unlabeled
ADAMTS1,,unlabeled
ADAMTS10,,unlabeled
ADAMTS12,,unlabeled
ADAMTS13,Approved,P
ADAMTS14,,unlabeled
ADAMTS15,,unlabeled
ADAMTS16,,unlabeled
ADAMTS17,,unlabeled
ADAMTS18,,unlabeled
ADAMTS19,,unlabeled
ADAMTS2,,unlabeled
ADAMTS20,,unlabeled
ADAMTS3,,unlabeled
ADAMTS4,,unlabeled
ADAMTS5,,unlabeled
ADAMTS6,,unlabeled
ADAMTS7,,unlabeled
ADAMTS8,,unlabeled
ADAMTS9,,unlabeled
ADAMTSL1,,unlabeled
ADAMTSL2,,unlabeled
ADAMTSL3,,unlabeled
ADAMTSL4,,unlabeled
ADAMTSL5,,unlabeled
ADAP1,,unlabeled
ADAP2,,unlabeled
ADAR,,unlabeled
ADARB1,,unlabeled
ADARB2,,unlabeled
ADAT1,,unlabeled
ADAT2,,unlabeled
ADAT3,,unlabeled
ADCK1,,unlabeled
ADCK2,,unlabeled
ADCK5,,unlabeled
ADCY1,,unlabeled
ADCY10,,unlabeled
ADCY2,,unlabeled
ADCY3,,unlabeled
ADCY4,,unlabeled
ADCY5,,unlabeled
ADCY6,,unlabeled
ADCY7,,unlabeled
ADCY8,,unlabeled
ADCY9,,unlabeled
ADCYAP1,,unlabeled
ADCYAP1R1,,unlabeled
ADD1,,unlabeled
ADD2,,unlabeled
ADD3,,unlabeled
ADGB,,unlabeled
ADGRA1,,unlabeled
ADGRA2,,unlabeled
ADGRA3,,unlabeled
ADGRB1,,unlabeled
ADGRB2,,unlabeled
ADGRB3,,unlabeled
ADGRD1,,unlabeled
ADGRD2,,unlabeled
ADGRE1,,unlabeled
ADGRE2,,unlabeled
ADGRE3,,unlabeled
ADGRE5,,unlabeled
ADGRF1,,unlabeled
ADGRF3,,unlabeled
ADGRF4,,unlabeled
ADGRF5,,unlabeled
ADGRG1,,unlabeled
ADGRG2,,unlabeled
ADGRG3,,unlabeled
ADGRG4,,unlabeled
ADGRG5,,unlabeled
ADGRG6,,unlabeled
ADGRG7,,unlabeled
ADGRL1,,unlabeled
ADGRL2,,unlabeled
ADGRL3,,unlabeled
ADGRL4,,unlabeled
ADGRV1,,unlabeled
ADH1A,,unlabeled
ADH1B,,unlabeled
ADH1C,,unlabeled
ADH4,,unlabeled
ADH5,,unlabeled
ADH6,,unlabeled
ADH7,,unlabeled
ADHFE1,,unlabeled
ADI1,,unlabeled
ADIG,,unlabeled
ADIPOQ,,unlabeled
ADIPOR1,,unlabeled
ADIPOR2,,unlabeled
ADIRF,,unlabeled
ADK,,unlabeled
ADM,,unlabeled
ADM2,,unlabeled
ADM5,,unlabeled
ADNP,,unlabeled
ADNP2,,unlabeled
ADO,,unlabeled
ADORA1,Phase 3,trial_heldout
ADORA2A,Phase 3,trial_heldout
ADORA2B,Phase 3,trial_heldout
ADORA3,Phase 3,trial_heldout
ADPGK,,unlabeled
ADPRH,,unlabeled
ADPRHL1,,unlabeled
ADPRM,,unlabeled
ADPRS,,unlabeled
ADRA1A,Approved,P
ADRA1B,Approved,P
ADRA1D,Approved,P
ADRA2A,Approved,P
ADRA2B,Approved,P
ADRA2C,Approved,P
ADRB1,Approved,P
ADRB2,Approved,P
ADRB3,Approved,P
ADRM1,Approved,P
ADSL,,unlabeled
ADSS1,,unlabeled
ADSS2,,unlabeled
ADTRP,,unlabeled
AEBP1,,unlabeled
AEBP2,,unlabeled
AEN,,unlabeled
AFAP1,,unlabeled
AFAP1L1,,unlabeled
AFAP1L2,,unlabeled
AFDN,,unlabeled
AFF1,,unlabeled
AFF2,,unlabeled
AFF3,,unlabeled
AFF4,,unlabeled
AFG1L,,unlabeled
AFG3L2,,unlabeled
AFM,,unlabeled
AFMID,,unlabeled
AFP,,unlabeled
AFTPH,,unlabeled
AGA,,unlabeled
AGAP1,,unlabeled
AGAP2,,unlabeled
AGAP3,,unlabeled
AGAP4,,unlabeled
AGAP5,,unlabeled
AGAP6,,unlabeled
AGAP9,,unlabeled
AGBL1,,unlabeled
AGBL2,,unlabeled
AGBL3,,unlabeled
AGBL4,,unlabeled
AGBL5,,unlabeled
AGER,,unlabeled
AGFG1,,unlabeled
AGFG2,,unlabeled
AGGF1,,unlabeled
AGK,,unlabeled
AGL,,unlabeled
AGMAT,,unlabeled
AGMO,,unlabeled
AGO1,,unlabeled
AGO2,,unlabeled
AGO3,,unlabeled
AGO4,,unlabeled
AGPAT1,,unlabeled
AGPAT2,,unlabeled
AGPAT3,,unlabeled
AGPAT4,,unlabeled
AGPAT5,,unlabeled
AGPS,,unlabeled
AGR2,,unlabeled
AGR3,,unlabeled
AGRN,,unlabeled
AGRP,,unlabeled
AGT,,unlabeled
AGTPBP1,,unlabeled
AGTR1,Phase 3,trial_heldout
AGTR2,,unlabeled
AGTRAP,,unlabeled
AGXT,,unlabeled
AGXT2,,unlabeled
AHCTF1,,unlabeled
AHCY,,unlabeled
AHCYL1,,unlabeled
AHCYL2,,unlabeled
AHDC1,,unlabeled
AHI1,,unlabeled
AHNAK,,unlabeled
AHNAK2,,unlabeled
AHR,Approved,P
AHRR,,unlabeled
AHSA1,,unlabeled
AHSG,,unlabeled
AHSP,,unlabeled
AICDA,,unlabeled
AIDA,,unlabeled
AIF1,,unlabeled
AIF1L,,unlabeled
AIFM1,,unlabeled
AIFM2,,unlabeled
AIFM3,,unlabeled
AIG1,,unlabeled
AIM2,,unlabeled
AIMP1,,unlabeled
AIMP2,,unlabeled
AIP,,unlabeled
AIPL1,,unlabeled
AIRE,,unlabeled
AJAP1,,unlabeled
AJM1,,unlabeled
AJUBA,,unlabeled
AK1,,unlabeled
AK2,,unlabeled
AK3,,unlabeled
AK4,,unlabeled
AK4P3,,unlabeled
AK5,,unlabeled
AK6,,unlabeled
AK7,,unlabeled
AK8,,unlabeled
AK9,,unlabeled
AKAIN1,,unlabeled
AKAP1,,unlabeled
AKAP10,,unlabeled
AKAP11,,unlabeled
AKAP12,,unlabeled
AKAP13,,unlabeled
AKAP14,,unlabeled
AKAP17A,,unlabeled
AKAP3,,unlabeled
AKAP4,,unlabeled
AKAP5,,unlabeled
AKAP6,,unlabeled
AKAP7,,unlabeled
AKAP8,,unlabeled
AKAP8L,,unlabeled
AKAP9,,unlabeled
AKIP1,,unlabeled
AKIRIN1,,unlabeled
AKIRIN2,,unlabeled
AKNA,,unlabeled
AKNAD1,,unlabeled
AKR1A1,,unlabeled
AKR1B1,,unlabeled
AKR1B10,,unlabeled
AKR1B15,,unlabeled
AKR1C1,,unlabeled
AKR1C2,,unlabeled
AKR1C3,,unlabeled
AKR1C4,,unlabeled
AKR1C8,,unlabeled
AKR1D1,,unlabeled
AKR1E2,,unlabeled
AKR7A2,,unlabeled
AKR7A3,,unlabeled
AKR7L,,unlabeled
AKT1,Phase 2,trial_heldout
AKT1S1,,unlabeled
AKT2,Phase 2,trial_heldout
AKT3,Phase 2,trial_heldout
AKTIP,,unlabeled
ALAD,,unlabeled
ALAS1,,unlabeled
ALAS2,,unlabeled
ALB,,unlabeled
ALCAM,,unlabeled
ALDH16A1,,unlabeled
ALDH18A1,,unlabeled
ALDH1A1,,unlabeled
ALDH1A2,,unlabeled
ALDH1A3,,unlabeled
ALDH1B1,,unlabeled
ALDH1L1,,unlabeled
ALDH1L2,,unlabeled
ALDH2,Phase 2,trial_heldout
ALDH3A1,,unlabeled
ALDH3A2,,unlabeled
ALDH3B1,,unlabeled
ALDH3B2,,unlabeled
ALDH4A1,,unlabeled
ALDH5A1,Phase 2,trial_heldout
ALDH6A1,,unlabeled
ALDH7A1,,unlabeled
ALDH8A1,,unlabeled
ALDH9A1,,unlabeled
ALDOA,,unlabeled
ALDOB,,unlabeled
ALDOC,,unlabeled
ALG1,,unlabeled
ALG10,,unlabeled
ALG10B,,unlabeled
ALG11,,unlabeled
ALG12,,unlabeled
ALG13,,unlabeled
ALG14,,unlabeled
ALG1L2,,unlabeled
ALG2,,unlabeled
ALG3,,unlabeled
ALG5,,unlabeled
ALG6,,unlabeled
ALG8,,unlabeled
ALG9,,unlabeled
ALK,Phase 2,trial_heldout
ALKAL1,,unlabeled
ALKAL2,,unlabeled
ALKBH1,,unlabeled
ALKBH2,,unlabeled
ALKBH3,,unlabeled
ALKBH4,,unlabeled
ALKBH5,,unlabeled
ALKBH6,,unlabeled
ALKBH7,,unlabeled
ALKBH8,,unlabeled
ALLC,,unlabeled
ALMS1,,unlabeled
ALOX12,,unlabeled
ALOX12B,,unlabeled
ALOX15,,unlabeled
ALOX15B,,unlabeled
ALOX5,Approved,P
ALOX5AP,,unlabeled
ALOXE3,,unlabeled
ALPG,,unlabeled
ALPI,,unlabeled
ALPK1,,unlabeled
ALPK2,,unlabeled
ALPK3,,unlabeled
ALPL,,unlabeled
ALPP,,unlabeled
ALS2,,unlabeled
ALS2CL,,unlabeled
ALX1,,unlabeled
ALX3,,unlabeled
ALX4,,unlabeled
ALYREF,,unlabeled
AMACR,,unlabeled
AMBN,,unlabeled
AMBP,,unlabeled
AMBRA1,,unlabeled
AMD1,,unlabeled
AMDHD1,,unlabeled
AMDHD2,,unlabeled
AMELX,,unlabeled
AMELY,,unlabeled
AMER1,,unlabeled
AMER2,,unlabeled
AMER3,,unlabeled
AMFR,,unlabeled
AMH,,unlabeled
AMHR2,,unlabeled
AMIGO1,,unlabeled
AMIGO2,,unlabeled
AMIGO3,,unlabeled
AMMECR1,,unlabeled
AMMECR1L,,unlabeled
AMN,,unlabeled
AMN1,,unlabeled
AMOT,,unlabeled
AMOTL1,,unlabeled
AMOTL2,,unlabeled
AMPD1,,unlabeled
AMPD2,,unlabeled
AMPD3,,unlabeled
AMPH,,unlabeled
AMT,,unlabeled
AMTN,,unlabeled
AMY1A,,unlabeled
AMY1B,,unlabeled
AMY1C,,unlabeled
AMY2A,,unlabeled
AMY2B,,unlabeled
AMZ1,,unlabeled
AMZ2,,unlabeled
ANAPC1,,unlabeled
ANAPC10,,unlabeled
ANAPC11,,unlabeled
ANAPC13,,unlabeled
ANAPC15,,unlabeled
ANAPC16,,unlabeled
ANAPC2,,unlabeled
ANAPC4,,unlabeled
ANAPC5,,unlabeled
ANAPC7,,unlabeled
ANG,,unlabeled
ANGEL1,,unlabeled
ANGEL2,,unlabeled
ANGPT1,Phase 1,trial_heldout
ANGPT2,Phase 1,trial_heldout
ANGPT4,,unlabeled
ANGPTL1,,unlabeled
ANGPTL2,,unlabeled
ANGPTL3,,unlabeled
ANGPTL4,,unlabeled
ANGPTL5,,unlabeled
ANGPTL6,,unlabeled
ANGPTL7,,unlabeled
ANGPTL8,,unlabeled
ANHX,,unlabeled
ANK1,,unlabeled
ANK2,,unlabeled
ANK3,,unlabeled
ANKAR,,unlabeled
ANKDD1A,,unlabeled
ANKDD1B,,unlabeled
ANKEF1,,unlabeled
ANKFN1,,unlabeled
ANKFY1,,unlabeled
ANKH,,unlabeled
ANKHD1,,unlabeled
ANKHD1-EIF4EBP3,,unlabeled
ANKIB1,,unlabeled
ANKK1,,unlabeled
ANKLE1,,unlabeled
ANKLE2,,unlabeled
ANKMY1,,unlabeled
ANKMY2,,unlabeled
ANKRA2,,unlabeled
ANKRD1,,unlabeled
ANKRD10,,unlabeled
ANKRD11,,unlabeled
ANKRD12,,unlabeled
ANKRD13A,,unlabeled
ANKRD13B,,unlabeled
ANKRD13C,,unlabeled
ANKRD13D,,unlabeled
ANKRD16,,unlabeled
ANKRD17,,unlabeled
ANKRD18A,,unlabeled
ANKRD18B,,unlabeled
ANKRD2,,unlabeled
ANKRD20A1,,unlabeled
ANKRD20A2P,,unlabeled
ANKRD20A3P,,unlabeled
ANKRD20A4P,,unlabeled
ANKRD22,,unlabeled
ANKRD23,,unlabeled
ANKRD24,,unlabeled
ANKRD26,,unlabeled
ANKRD27,,unlabeled
ANKRD28,,unlabeled
ANKRD29,,unlabeled
ANKRD30A,,unlabeled
ANKRD30B,,unlabeled
ANKRD30BL,,unlabeled
ANKRD31,,unlabeled
ANKRD33,,unlabeled
ANKRD33B,,unlabeled
ANKRD34A,,unlabeled
ANKRD34B,,unlabeled
ANKRD34C,,unlabeled
ANKRD35,,unlabeled
ANKRD36,,unlabeled
ANKRD36B,,unlabeled
ANKRD36C,,unlabeled
ANKRD37,,unlabeled
ANKRD39,,unlabeled
ANKRD40,,unlabeled
ANKRD40CL,,unlabeled
ANKRD42,,unlabeled
ANKRD44,,unlabeled
ANKRD45,,unlabeled
ANKRD46,,unlabeled
ANKRD49,,unlabeled
ANKRD50,,unlabeled
ANKRD52,,unlabeled
ANKRD53,,unlabeled
ANKRD54,,unlabeled
ANKRD55,,unlabeled
ANKRD6,,unlabeled
ANKRD60,,unlabeled
ANKRD61,,unlabeled
ANKRD62,,unlabeled
ANKRD63,,unlabeled
ANKRD65,,unlabeled
ANKRD66,,unlabeled
ANKRD7,,unlabeled
ANKRD9,,unlabeled
ANKS1A,,unlabeled
ANKS1B,,unlabeled
ANKS3,,unlabeled
ANKS4B,,unlabeled
ANKS6,,unlabeled
ANKUB1,,unlabeled
ANKZF1,,unlabeled
ANLN,,unlabeled
ANO1,Unknown,unlabeled
ANO10,,unlabeled
ANO2,,unlabeled
ANO3,,unlabeled
ANO4,,unlabeled
ANO5,,unlabeled
ANO6,,unlabeled
ANO7,,unlabeled
ANO8,,unlabeled
ANO9,,unlabeled
ANOS1,,unlabeled
ANP32A,,unlabeled
ANP32B,,unlabeled
ANP32D,,unlabeled
ANP32E,,unlabeled
ANPEP,Phase 2,trial_heldout
ANTKMT,,unlabeled
ANTXR1,,unlabeled
ANTXR2,,unlabeled
ANTXRL,,unlabeled
ANXA1,,unlabeled
ANXA10,,unlabeled
ANXA11,,unlabeled
ANXA13,,unlabeled
ANXA2,,unlabeled
ANXA2R,,unlabeled
ANXA3,,unlabeled
ANXA4,,unlabeled
ANXA5,,unlabeled
ANXA6,,unlabeled
ANXA7,,unlabeled
ANXA8,,unlabeled
ANXA8L1,,unlabeled
ANXA9,,unlabeled
AOAH,,unlabeled
AOC1,,unlabeled
AOC2,,unlabeled
AOC3,,unlabeled
AOPEP,Phase 2,trial_heldout
AOX1,,unlabeled
AP1AR,,unlabeled
AP1B1,,unlabeled
AP1G1,,unlabeled
AP1G2,,unlabeled
AP1M1,,unlabeled
AP1M2,,unlabeled
AP1S1,,unlabeled
AP1S2,,unlabeled
AP1S3,,unlabeled
AP2A1,,unlabeled
AP2A2,,unlabeled
AP2B1,,unlabeled
AP2M1,,unlabeled
AP2S1,,unlabeled
AP3B1,,unlabeled
AP3B2,,unlabeled
AP3D1,,unlabeled
AP3M1,,unlabeled
AP3M2,,unlabeled
AP3S1,,unlabeled
AP3S2,,unlabeled
AP4B1,,unlabeled
AP4E1,,unlabeled
AP4M1,,unlabeled
AP4S1,,unlabeled
AP5B1,,unlabeled
AP5M1,,unlabeled
AP5S1,,unlabeled
AP5Z1,,unlabeled
APAF1,,unlabeled
APBA1,,unlabeled
APBA2,,unlabeled
APBA3,,unlabeled
APBB1,,unlabeled
APBB1IP,,unlabeled
APBB2,,unlabeled
APBB3,,unlabeled
APC,,unlabeled
APC2,,unlabeled
APCDD1,,unlabeled
APCDD1L,,unlabeled
APCS,Phase 2,trial_heldout
APEH,,unlabeled
APEX1,,unlabeled
APEX2,,unlabeled
APH1A,Phase 2,trial_heldout
APH1B,Phase 2,trial_heldout
API5,,unlabeled
APIP,,unlabeled
APLF,,unlabeled
APLN,,unlabeled
APLNR,,unlabeled
APLP1,,unlabeled
APLP2,,unlabeled
APMAP,,unlabeled
APOA1,,unlabeled
APOA2,,unlabeled
APOA4,,unlabeled
APOA5,,unlabeled
APOB,,unlabeled
APOBEC1,,unlabeled
APOBEC2,,unlabeled
APOBEC3A,,unlabeled
APOBEC3B,,unlabeled
APOBEC3C,,unlabeled
APOBEC3D,,unlabeled
APOBEC3F,,unlabeled
APOBEC3G,,unlabeled
APOBEC3H,,unlabeled
APOBEC4,,unlabeled
APOBR,,unlabeled
APOC1,,unlabeled
APOC2,,unlabeled
APOC3,,unlabeled
APOC4,,unlabeled
APOC4-APOC2,,unlabeled
APOD,,unlabeled
APOE,,unlabeled
APOF,,unlabeled
APOH,,unlabeled
APOL1,,unlabeled
APOL2,,unlabeled
APOL3,,unlabeled
APOL4,,unlabeled
APOL5,,unlabeled
APOL6,,unlabeled
APOLD1,,unlabeled
APOM,,unlabeled
APOO,,unlabeled
APOOL,,unlabeled
APP,,unlabeled
APPBP2,,unlabeled
APPL1,,unlabeled
APPL2,,unlabeled
APRT,,unlabeled
APTX,,unlabeled
AQP1,,unlabeled
AQP10,,unlabeled
AQP11,,unlabeled
AQP12A,,unlabeled
AQP12B,,unlabeled
AQP2,,unlabeled
AQP3,,unlabeled
AQP4,,unlabeled
AQP5,,unlabeled
AQP6,,unlabeled
AQP7,,unlabeled
AQP8,,unlabeled
AQP9,,unlabeled
AQR,,unlabeled
AR,Approved,P
ARAF,Phase 2,trial_heldout
ARAP1,,unlabeled
ARAP2,,unlabeled
ARAP3,,unlabeled
ARC,,unlabeled
ARCN1,,unlabeled
AREG,,unlabeled
AREL1,,unlabeled
ARF1,,unlabeled
ARF3,,unlabeled
ARF4,,unlabeled
ARF5,,unlabeled
ARF6,,unlabeled
ARFGAP1,,unlabeled
ARFGAP2,,unlabeled
ARFGAP3,,unlabeled
ARFGEF1,,unlabeled
ARFGEF2,,unlabeled
ARFGEF3,,unlabeled
ARFIP1,,unlabeled
ARFIP2,,unlabeled
ARFRP1,,unlabeled
ARG1,,unlabeled
ARG2,,unlabeled
ARGFX,,unlabeled
ARGLU1,,unlabeled
ARHGAP1,,unlabeled
ARHGAP10,,unlabeled
ARHGAP11A,,unlabeled
ARHGAP11A-SCG5,,unlabeled
ARHGAP11B,,unlabeled
ARHGAP12,,unlabeled
ARHGAP15,,unlabeled
ARHGAP17,,unlabeled
ARHGAP18,,unlabeled
ARHGAP19,,unlabeled
ARHGAP19-SLIT1,,unlabeled
ARHGAP20,,unlabeled
ARHGAP21,,unlabeled
ARHGAP22,,unlabeled
ARHGAP23,,unlabeled
ARHGAP24,,unlabeled
ARHGAP25,,unlabeled
ARHGAP26,,unlabeled
ARHGAP27,,unlabeled
ARHGAP28,,unlabeled
ARHGAP29,,unlabeled
ARHGAP30,,unlabeled
ARHGAP31,,unlabeled
ARHGAP32,,unlabeled
ARHGAP33,,unlabeled
ARHGAP35,,unlabeled
ARHGAP36,,unlabeled
ARHGAP39,,unlabeled
ARHGAP4,,unlabeled
ARHGAP40,,unlabeled
ARHGAP42,,unlabeled
ARHGAP44,,unlabeled
ARHGAP45,,unlabeled
ARHGAP5,,unlabeled
ARHGAP6,,unlabeled
ARHGAP8,,unlabeled
ARHGAP9,,unlabeled
ARHGDIA,,unlabeled
ARHGDIB,,unlabeled
ARHGDIG,,unlabeled
ARHGEF1,,unlabeled
ARHGEF10,,unlabeled
ARHGEF10L,,unlabeled
ARHGEF11,,unlabeled
ARHGEF12,,unlabeled
ARHGEF15,,unlabeled
ARHGEF16,,unlabeled
ARHGEF17,,unlabeled
ARHGEF18,,unlabeled
ARHGEF19,,unlabeled
ARHGEF2,,unlabeled
ARHGEF25,,unlabeled
ARHGEF26,,unlabeled
ARHGEF28,,unlabeled
ARHGEF3,,unlabeled
ARHGEF33,,unlabeled
ARHGEF35,,unlabeled
ARHGEF37,,unlabeled
ARHGEF38,,unlabeled
ARHGEF39,,unlabeled
ARHGEF4,,unlabeled
ARHGEF40,,unlabeled
ARHGEF5,,unlabeled
ARHGEF6,,unlabeled
ARHGEF7,,unlabeled
ARHGEF9,,unlabeled
ARID1A,,unlabeled
ARID1B,,unlabeled
ARID2,,unlabeled
ARID3A,,unlabeled
ARID3B,,unlabeled
ARID3C,,unlabeled
ARID4A,,unlabeled
ARID4B,,unlabeled
ARID5A,,unlabeled
ARID5B,,unlabeled
ARIH1,,unlabeled
ARIH2,,unlabeled
ARL1,,unlabeled
ARL10,,unlabeled
ARL11,,unlabeled
ARL13A,,unlabeled
ARL13B,,unlabeled
ARL14,,unlabeled
ARL14EP,,unlabeled
ARL14EPL,,unlabeled
ARL15,,unlabeled
ARL16,,unlabeled
ARL17A,,unlabeled
ARL17B,,unlabeled
ARL2,,unlabeled
ARL2-SNX15,,unlabeled
ARL2BP,,unlabeled
ARL3,,unlabeled
ARL4A,,unlabeled
ARL4C,,unlabeled
ARL4D,,unlabeled
ARL5A,,unlabeled
ARL5B,,unlabeled
ARL5C,,unlabeled
ARL6,,unlabeled
ARL6IP1,,unlabeled
ARL6IP4,,unlabeled
ARL6IP5,,unlabeled
ARL6IP6,,unlabeled
ARL8A,,unlabeled
ARL8B,,unlabeled
ARL9,,unlabeled
ARMC1,,unlabeled
