gene	gene_id	chromosome	lof.oe_ci.upper	mis.z_score	IEI	gwas_score	gene_burden_score	expected_n_regulators_residuals	crossdonor_correlation_mean	zscore_Th1	neglog10_adjp_Th1	zscore_Th2	neglog10_adjp_Th2	zscore_Th17	neglog10_adjp_Th17	zscore_Treg	neglog10_adjp_Treg	polar_coef_rank_Rest	polar_coef_rank_Stim8hr	polar_coef_rank_Stim48hr	polar_coef_mean_Rest	polar_coef_mean_Stim8hr	polar_coef_mean_Stim48hr	polar_rank_range	known_polar_regulator	reg_burden_sig_Rest	reg_burden_sig_Stim8hr	reg_burden_sig_Stim48hr	n_sig_regulated_cytokines_Rest	n_sig_regulated_cytokines_Stim8hr	n_sig_regulated_cytokines_Stim48hr	has_any_significant_cytokine	n_sig_regulated_cytokine_receptors_Rest	n_sig_regulated_cytokine_receptors_Stim8hr	n_sig_regulated_cytokine_receptors_Stim48hr	has_any_significant_cytokine_receptors
ABCA7	ENSG00000064687	chr19	1.27E+00	-3.21E+00	0	0	0	57.444766869982686		0.021236227324083642	5.540375732814527e-05	-0.5365882022316908	0.09933169352564777	-0.47784705342169537	0.13441307228425467	-1.831272723384745	0.9315091454108393									0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA8	ENSG00000141338	chr17	1.04E+00	-9.96E-02	0	0	0																													
ABCA9	ENSG00000154258	chr17	1.01E+00	1.05E+00	0	0	0			-0.656834810799634	5.540375732814527e-05	1.738382603691384	0.584595984348131	-2.0889690707049677	1.0947889511315698	2.0994934123686524	1.1598459745004253																			
ABCB1	ENSG00000085563	chr7	5.94E-01	2.47E+00	0	0.336469	0	29.424873989942295		1.764712650485812	5.540375732814527e-05	-1.4766918145448409	0.4418843877229293	3.797828432399621	3.142421353733125	7.725072234476622	12.537058036937625									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCB10	ENSG00000135776	chr1	1.04E+00	1.78E+00	0	0.058634	0	-32.30298392462287		-0.22576575751941105	5.540375732814527e-05	2.0014707110427707	0.7595712853155645	-3.4296737347088455	2.596637924318115	-1.6536235383341686	0.7929156610867013									0.0	0.0	0.0								
ABCB11	ENSG00000073734	chr2	7.61E-01	1.01E+00	0	0	0																													
ABCB4	ENSG00000005471	chr7	6.31E-01	3.45E+00	0	0.08845	0			-0.10152789909857708		0.33209897518355425				0.33984949312323204	0.09516192895215983																			
ABCB5	ENSG00000004846	chr7	1.23E+00	-3.38E+00	0	0.658461	0																													
ABCB6	ENSG00000115657	chr2	1.05E+00	6.16E-01	0	0	0	39.951965673762025		1.2385221915498195	5.540375732814527e-05	0.445425480933391	0.07840096677691002	-2.0601172600036084	1.0689526656101167	-1.9993222872606877	1.072150663681159									1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCB7	ENSG00000131269	chrX	2.42E-01	3.83E+00	0	0.031107	0	-22.495479356461445											0.6867040244523688			-0.0040020821807763		0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	1.0
ABCB8	ENSG00000197150	chr7	8.98E-01	8.97E-01	0	0	0	-26.863986362400265		0.0440402339533466	5.540375732814527e-05	-1.5847736307610143	0.4989262918543003			-3.196472692721668	2.3799697773827875									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCB9	ENSG00000150967	chr12	7.67E-01	1.47E+00	0	0	0	-5.702633508843317																		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC1	ENSG00000103222	chr16	5.76E-01	1.77E+00	0	0	0	2.3088253680328705	0.35875207573082224	-0.14652122890071312	5.540375732814527e-05	2.562692250598895	1.231203569734747	-0.3429997487448635	0.08962683492157247	1.833614235543809	0.9335003672445055	0.2741725306228824	0.2733061640346408	0.125130890052356	0.0079346055171423	0.0062309954776995	0.0106874711604792	0.14904164057052638	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0
ABCC10	ENSG00000124574	chr6	9.00E-01	1.96E+00	0	0	0																						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC11	ENSG00000121270	chr16	1.04E+00	4.33E-01	0	0.047046	0																													
ABCC12	ENSG00000140798	chr16	1.08E+00	5.50E-01	0	0.343918	0																													
ABCC2	ENSG00000023839	chr10	1.03E+00	3.00E-01	0	0	0	-7.1296350570967055						0.8436369218239975	0.28099348185354883											0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC3	ENSG00000108846	chr17	8.51E-01	9.15E-01	0	0	0																						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC4	ENSG00000125257	chr13	7.14E-01	2.17E+00	0	0.066662	0	20.448720877156855	0.3803030750316867	-0.7704653694786436	5.540375732814527e-05	3.2437754620422106	1.9706112191234246	4.698874932444267	4.714987891393441	-0.9326233493403205	0.34229227624895675	0.126922074537399	0.1242995415180845	0.0465968586387434	0.014534394064107	0.0112673814562626	0.0155029779856162	0.0803252158986556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC5	ENSG00000114770	chr3	4.69E-01	5.06E+00	0	0	0	-2.747438971705494		-0.05317618011416684	5.540375732814527e-05	-1.0741245018339607	0.2599407350923713	2.161462043849951	1.1570864306525168	1.4115236845233168	0.6241124179255865									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC6	ENSG00000091262	chr16	8.62E-01	1.89E+00	0	0	0																													
ABCC8	ENSG00000006071	chr11	8.40E-01	3.02E+00	0	0.466784	0			-1.4930121354166772		-0.5515687270285098	0.10292746458516676	-1.8344265615801916	0.8824080656030482	-0.058172146211007886	0.013667748741807451												0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC9	ENSG00000069431	chr12	5.98E-01	7.62E+00	0	0	0			0.7064694214705414	5.540375732814527e-05	-0.4811978246086086	0.08697048646329536	1.794330910441856	0.8505456807102155	4.570121444369936	4.566380878763689																			
ABCD1	ENSG00000101986	chrX	2.97E-01	2.89E+00	0	0	0			0.506497804411781	5.540375732814527e-05	-0.35404997284244355	0.06103858226113505	-1.3567815749988468	0.5544522478349956	-0.13155911789521596	0.03335203837600225																			
ABCD2	ENSG00000173208	chr12	6.70E-01	2.30E+00	0	0	0	126.25543788007128		1.6154287744144336	5.540375732814527e-05	-1.0744941523655092	0.2600229788653114	-1.2726937560071545	0.5022078604934852	-4.413097035009645	4.274664636027504	0.6351316132395101	0.5244523688232298	0.8861256544502618	-0.0032185367785427	8.038637784472136e-06	-0.011734947172718	0.36167328562703205	0.0	0.0	1.0	0.0	3.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
ABCD3	ENSG00000117528	chr1	5.04E-01	2.77E+00	0	0.273863	0	-25.694246433312724		0.9446492289547207	5.540375732814527e-05	-1.4081388511854123	0.4079470696438617			-6.2647237066680015	8.310817836902842									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCD4	ENSG00000119688	chr14	7.72E-01	1.16E-01	0	0	0	-2.627271905960495										0.0411780036486838	0.1925624044829343	0.1193717277486911	0.02205078741944	0.0086488265305998	0.0109375150884729	0.1513844008342505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCE1	ENSG00000164163	chr4	3.77E-01	6.22E+00	0	0	0	24.867832619638065		-0.011339469299512033	5.540375732814527e-05	0.9107109237855796	0.2034581428797051	-2.5565037144951277	1.5329915789636217	-2.098746124069876	1.1592151841459106									0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCF1	ENSG00000204574	chr6	7.02E-01	3.56E+00	0	0	0			0.8617647741373985	5.540375732814527e-05	-0.16654391837110194	0.026233431130848462	-1.6959944839738115	0.7776132585581065	-2.417921980184324	1.4665278425138268																			
ABCF2	ENSG00000033050	chr7	6.33E-01	3.94E+00	0	0.075837	0	2.010750173641656		0.17285639485987744	5.540375732814527e-05	0.49071503941670147	0.08926914762329388	-1.5922384759945183	0.704436547709059	-1.8213044664019669	0.9229886552589625									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCF2-H2BK1	ENSG00000285292	chr7	6.55E-01	3.92E+00	0	0	0																													
ABCF3	ENSG00000161204	chr3	8.12E-01	1.15E+00	0	0	0	-45.515185371459154						-0.8384781286240661	0.278428076082638											0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCG1	ENSG00000160179	chr21	5.72E-01	2.56E+00	0	0.086562	0	33.36008784424448		-1.0075793076979562	5.540375732814527e-05	-0.7998324111458911	0.16851605376322368	-0.24382219510227823	0.061127551610221494	4.102476327974348	3.72997496713797									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCG2	ENSG00000118777	chr4	1.31E+00	-1.49E-01	0	0	0	1.001596698642872		-2.222799149776132	0.22818021060565058	9.280998428625761	17.245861162954128	3.278204236078222	2.3918299897911783	8.602394103024453	15.507188557267892									0.0	0.0	0.0								
ABCG4	ENSG00000172350	chr11	7.18E-01	3.46E+00	0	0	0			-0.8747369038471093		0.26766166143614123	0.04286026989970028			0.21637157363565113	0.05735703418208254																			
ABCG5	ENSG00000138075	chr2	1.22E+00	-1.16E+00	0	0	0							0.053200442534161944	0.012792859798025306																					
ABCG8	ENSG00000143921	chr2	1.37E+00	-3.66E+00	0	0	0																													
ABHD1	ENSG00000143994	chr2	1.45E+00	-8.86E-01	0	0	0																													
ABHD10	ENSG00000144827	chr3	9.48E-01	6.10E-01	0	0	0	-11.11345666054852		-0.8258763350366636	5.540375732814527e-05	0.9542893526113589	0.21936309309003793	-5.051105034488384	5.4229000724875425	-4.249860144195672	3.9840696946219567									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD11	ENSG00000106077	chr7	1.24E+00	8.60E-01	0	0	0	-19.122915688548478		-0.7725894381923847	5.540375732814527e-05	-0.8951466609756908	0.19793302896104722	-4.21752086911361	3.832133219779375	-2.056209225278228	1.1214310893910804									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD12	ENSG00000100997	chr20	9.51E-01	-3.38E-02	0	0	0	-9.021709465998756	0.2677715910186439									0.289288506645817	0.4118695873662761	0.5798429319371727	0.0074541297675693	0.0026488739828009	-0.0022292145976539	0.2905544252913557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD12B	ENSG00000131969	chr14	1.08E+00	-6.30E-01	0	0	0																													
ABHD13	ENSG00000139826	chr13	5.22E-01	2.14E+00	0	0.037683	0	-12.263577535841137	0.27103611702562314	0.08069108646087562	5.540375732814527e-05	-1.179735722056185	0.3041728161315744	-0.01395505938567277	0.003993081850122561	2.7454141212277827	1.8222918416586305	0.4459212926765702	0.5899133978604177	0.2458115183246073	0.0025710833150727	-0.0016695467096951	0.0063214759237403	0.34410187953581045	0.0	0.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0
ABHD14A	ENSG00000248487	chr3	1.03E+00	7.72E-01	0	0.056848	0	5.465234479239501	0.8097620243311923									0.5392233515767527	0.4105960264900662	0.4918848167539267	-0.0001504032248576	0.0026770568658874	4.28678227343807e-05	0.1286273250866865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD14A-ACY1	ENSG00000114786	chr3	9.53E-01	1.02E+00	0	0	0																													
ABHD14B	ENSG00000114779	chr3	1.81E+00	6.26E-01	0	0.213589	0	11.64123975333422		-0.07329893329125539	5.540375732814527e-05	-1.5006247148959428	0.4531323700158921	2.223432289268152	1.2111689056598265	-3.1164482399910916	2.273118755244264	0.8543132655720616	0.7870606214977076	0.7863874345549738	-0.0127428602472765	-0.0067616332167126	-0.0077257261356423	0.06792583101708771	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ABHD15	ENSG00000168792	chr17	1.32E+00	1.07E-01	0	0	0			-0.497842088156774	5.540375732814527e-05	-0.7147687076185879	0.144531369381071	1.0819852781870152	0.3979537829191836	-2.3966953348780637	1.445068989701591			0.4272251308900524			0.0015602852969643	0.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD16A	ENSG00000204427	chr6	6.68E-01	2.43E+00	0	0	0	-9.963500734802338		-0.9967352777523063	5.540375732814527e-05	2.875383035611892	1.5462633114274924	-2.7974286361386684	1.7930206856089859	1.5563787924946022	0.7240184679783832									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD16B	ENSG00000183260	chr20	2.08E+00	-7.26E-01	0	0.182235	0											0.3703414125618973	0.3815588385124809	0.2675392670157068	0.0048839978870438	0.0034059484527928	0.0056748123009567	0.11401957149677411	0.0				3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ABHD17A	ENSG00000129968	chr19	6.33E-01	3.30E+00	0	0	0		0.312300429688573									0.6713578316393015	0.4882832399388691	0.3701570680628272	-0.004463333151557	0.0009241540649601	0.0028464372452356	0.3012007635764743	0.0				0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
ABHD17B	ENSG00000107362	chr9	6.00E-01	2.91E+00	0	0	0	-19.34723688180779		0.38482364928675705	5.540375732814527e-05	-1.31342976021177	0.3622847503866549			-0.08823754633249893	0.021912865526119128									0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17C	ENSG00000136379	chr15	6.52E-01	3.74E+00	0	0.464979	0	-8.02536401335093		1.5161498766746921	5.540375732814527e-05	0.12406678398831213	0.019094365413808108	5.237969286503997	5.81611618561584	-0.707467378664678	0.23691975689581835									0.0	0.0	0.0								
ABHD18	ENSG00000164074	chr4	1.05E+00	4.60E-01	0	0.043856	0	-31.48046424293807																		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD2	ENSG00000140526	chr15	6.04E-01	2.65E+00	0	0	0	-19.864709200589292		-0.7630345933759213	5.540375732814527e-05	0.16468039150849115	0.026070596604256664	-0.32685000310748735	0.0851507463669883	0.9137617884741547	0.3337182992175927	0.4735470419598644	0.7896077432501274	0.8696335078534031	0.0017934582728367	-0.0068721382917209	-0.0108728239990671	0.3960864658935387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD3	ENSG00000158201	chr18	1.20E+00	1.49E-01	0	0	0	1.956699306432597		0.09316236427616136	5.540375732814527e-05	0.755184832807853	0.15694121296969724	2.117078245256559	1.1186511968740618	-0.05007593004410888	0.011736137273917356									0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD4	ENSG00000100439	chr14	1.10E+00	1.32E+00	0	0.132198	0	37.898336876891086		1.58210299317716	5.540375732814527e-05	0.38419667543520825	0.06571223291187751	-1.3905681534639123	0.5752749855504874	1.3515653374587118	0.584812211445922									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD5	ENSG00000011198	chr3	9.06E-01	5.05E-01	0	0.295877	0	-5.130762325081302		0.9564044250158733	5.540375732814527e-05	-2.156737130222098	0.8802041256903176	1.9338522151597597	0.9625785082016809	0.7098422343843559	0.23788981184804553									0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ABHD6	ENSG00000163686	chr3	1.14E+00	8.83E-01	0	0.418278	0	-13.410197160782745		-0.6350520496231129	5.540375732814527e-05	11.78730193795449	28.254687265133708	-1.176209772302555	0.4475050969229322	-1.259433109094572	0.5266149994390801	0.5259317174876206	0.304635761589404	0.856544502617801	0.0002593936274382	0.0053160876399205	-0.0103772946528296	0.551908741028397	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ABHD8	ENSG00000127220	chr19	5.78E-01	1.02E+00	0	0	0	20.414143564300097		1.1257246976933315	5.540375732814527e-05	3.6629728705173092	2.5181122485167604	8.948999383089145	16.741954040844526	4.363926997247998	4.186122724020423									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABI1	ENSG00000136754	chr10	4.01E-01	2.71E+00	0	0.437914	0	-2.6937580347694356		0.599291984637891	5.540375732814527e-05	0.7786395609999366	0.1622015961675094	4.70494122919011	4.725325811325393	2.2479383150007384	1.299257347380227									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
