gene	gene_id	chromosome	lof.oe_ci.upper	mis.z_score	IEI	gwas_score	gene_burden_score									
ABCG2	ENSG00000118777	chr4	1.31E+00	-1.49E-01	0	0	0									
ABCG4	ENSG00000172350	chr11	7.18E-01	3.46E+00	0	0	0									
ABCG5	ENSG00000138075	chr2	1.22E+00	-1.16E+00	0	0	0									
ABCG8	ENSG00000143921	chr2	1.37E+00	-3.66E+00	0	0	0									
ABHD1	ENSG00000143994	chr2	1.45E+00	-8.86E-01	0	0	0									
ABHD10	ENSG00000144827	chr3	9.48E-01	6.10E-01	0	0	0									
ABHD11	ENSG00000106077	chr7	1.24E+00	8.60E-01	0	0	0									
ABHD12	ENSG00000100997	chr20	9.51E-01	-3.38E-02	0	0	0									
ABHD12B	ENSG00000131969	chr14	1.08E+00	-6.30E-01	0	0	0									
ABHD13	ENSG00000139826	chr13	5.22E-01	2.14E+00	0	0.037683	0									
ABHD14A	ENSG00000248487	chr3	1.03E+00	7.72E-01	0	0.056848	0									
ABHD14A-ACY1	ENSG00000114786	chr3	9.53E-01	1.02E+00	0	0	0									
ABHD14B	ENSG00000114779	chr3	1.81E+00	6.26E-01	0	0.213589	0									
ABHD15	ENSG00000168792	chr17	1.32E+00	1.07E-01	0	0	0									
ABHD16A	ENSG00000204427	chr6	6.68E-01	2.43E+00	0	0	0									
ABHD16B	ENSG00000183260	chr20	2.08E+00	-7.26E-01	0	0.182235	0									
ABHD17A	ENSG00000129968	chr19	6.33E-01	3.30E+00	0	0	0									
ABHD17B	ENSG00000107362	chr9	6.00E-01	2.91E+00	0	0	0									
ABHD17C	ENSG00000136379	chr15	6.52E-01	3.74E+00	0	0.464979	0									
ABHD18	ENSG00000164074	chr4	1.05E+00	4.60E-01	0	0.043856	0									
ABHD2	ENSG00000140526	chr15	6.04E-01	2.65E+00	0	0	0									
ABHD3	ENSG00000158201	chr18	1.20E+00	1.49E-01	0	0	0									
ABHD4	ENSG00000100439	chr14	1.10E+00	1.32E+00	0	0.132198	0									
ABHD5	ENSG00000011198	chr3	9.06E-01	5.05E-01	0	0.295877	0									
ABHD6	ENSG00000163686	chr3	1.14E+00	8.83E-01	0	0.418278	0									
ABHD8	ENSG00000127220	chr19	5.78E-01	1.02E+00	0	0	0									
ABI1	ENSG00000136754	chr10	4.01E-01	2.71E+00	0	0.437914	0									
ABI2	ENSG00000138443	chr2	5.90E-01	2.23E+00	0	0	0									
ABI3	ENSG00000108798	chr17	9.12E-01	8.01E-02	0	0	0									
ABI3BP	ENSG00000154175	chr3	9.00E-01	8.43E-01	0	0.586216	0									
ABITRAM	ENSG00000119328	chr9	1.22E+00	1.50E-01	0	0	0									
ABL1	ENSG00000097007	chr9	1.92E-01	4.50E+00	0	0	0									
ABL2	ENSG00000143322	chr1	5.77E-01	2.37E+00	0	0.433146	0									
ABLIM1	ENSG00000099204	chr10	4.87E-01	2.04E+00	0	0.299567	0									
ABLIM2	ENSG00000163995	chr4	6.82E-01	4.67E-01	0	0.414441	0									
ABLIM3	ENSG00000173210	chr5	6.89E-01	1.34E+00	0	0.440957	0									
ABO	ENSG00000175164	chr9	1.28E+00	1.95E-01	0	0.872104	0									
ABR	ENSG00000159842	chr17	4.33E-01	3.83E+00	0	0.583802	0									
ABRA	ENSG00000174429	chr8	1.05E+00	-1.78E-01	0	0.074581	0									
ABRACL	ENSG00000146386	chr6	1.30E+00	-2.91E-01	0	0	0									
ABRAXAS1	ENSG00000163322	chr4	9.39E-01	8.53E-01	0	0	0									
ABRAXAS2	ENSG00000165660	chr10	6.65E-01	1.30E+00	0	0.034807	0									
ABT1	ENSG00000146109	chr6	1.48E+00	-1.09E+00	0	0	0									
ABTB1	ENSG00000114626	chr3	1.01E+00	6.00E-01	0	0	0									
ABTB2	ENSG00000166016	chr11	6.72E-01	1.46E+00	0	0.390432	0									
ACAA1	ENSG00000060971	chr3	1.16E+00	9.04E-01	0	0	0									
ACAA2	ENSG00000167315	chr18	1.04E+00	2.83E-01	0	0	0									
ACACA	ENSG00000278540	chr17	4.10E-01	1.12E+01	0	0	0									
ACACB	ENSG00000076555	chr12	8.41E-01	3.13E+00	0	0.033442	0									
ACAD10	ENSG00000111271	chr12	1.12E+00	1.06E+00	0	0.603253	0									
ACAD11	ENSG00000240303	chr3	9.75E-01	7.01E-01	0	0.061501	0									
ACAD8	ENSG00000151498	chr11	1.13E+00	7.56E-01	0	0.167024	0									
ACAD9	ENSG00000177646	chr3	9.49E-01	3.88E-01	0	0	0									
ACADL	ENSG00000115361	chr2	1.31E+00	7.73E-01	0	0.032764	0									
ACADM	ENSG00000117054	chr1	1.06E+00	2.08E-01	0	0	0									
ACADS	ENSG00000122971	chr12	8.21E-01	8.87E-01	0	0.084909	0									
ACADSB	ENSG00000196177	chr10	9.63E-01	-3.70E-01	0	0	0									
ACADVL	ENSG00000072778	chr17	1.10E+00	-2.78E-01	0	0	0									
ACAN	ENSG00000157766	chr15	3.54E-01	3.57E-01	0	0.462565	0									
ACAP1	ENSG00000072818	chr17	5.84E-01	3.24E+00	0	0.678176	0.151983									
ACAP2	ENSG00000114331	chr3	4.40E-01	3.72E+00	0	0.496597	0									
ACAP3	ENSG00000131584	chr1	6.72E-01	-4.12E-01	0	0.034904	0									
ACAT1	ENSG00000075239	chr11	8.11E-01	1.03E+00	0	0	0									
ACAT2	ENSG00000120437	chr6	9.71E-01	4.04E-01	0	0.037415	0									
ACBD3	ENSG00000182827	chr1	6.08E-01	1.99E+00	0	0	0									
ACBD4	ENSG00000181513	chr17	1.16E+00	1.38E-01	0	0.062527	0									
ACBD5	ENSG00000107897	chr10	7.25E-01	1.44E+00	0	0	0									
ACBD6	ENSG00000230124	chr1	1.03E+00	-6.15E-02	0	0	0									
ACBD7	ENSG00000176244	chr10	1.33E+00	-3.35E-01	0	0.032028	0									
ACCS	ENSG00000110455	chr11	9.09E-01	4.83E-01	0	0	0									
ACCSL	ENSG00000205126	chr11	1.12E+00	1.07E+00	0	0	0									
ACD	ENSG00000102977	chr16	9.46E-01	1.09E+00	1	0	0									
ACE	ENSG00000159640	chr17	8.74E-01	-6.54E-01	0	0	0									
ACE2	ENSG00000130234	chrX	3.55E-01	1.30E+00	0	0	0									
ACER1	ENSG00000167769	chr19	1.54E+00	-6.12E-02	0	0	0									
ACER2	ENSG00000177076	chr9	1.04E+00	-2.58E-01	0	0.598944	0									
ACER3	ENSG00000078124	chr11	4.97E-01	2.34E+00	0	0	0									
ACHE	ENSG00000087085	chr7	5.18E-01	3.58E+00	0	0	0									
ACIN1	ENSG00000100813	chr14	1.66E-01	2.68E+00	0	0	0									
ACKR1	ENSG00000213088	chr1	3.06E+00	-9.18E-01	0	0.745107	0									
ACKR2	ENSG00000144648	chr3	NA	3.97E-01	0	0	0									
ACKR3	ENSG00000144476	chr2	5.28E-01	1.55E+00	0	0.16744	0									
ACKR4	ENSG00000129048	chr3	7.38E-01	5.30E+00	0	0	0									
ACLY	ENSG00000131473	chr17	4.00E-01	4.56E+00	0	0	0									
ACMSD	ENSG00000153086	chr2	1.06E+00	-2.73E-01	0	0.045735	0									
ACO1	ENSG00000122729	chr9	8.96E-01	1.87E+00	0	0	0									
ACO2	ENSG00000100412	chr22	4.95E-01	4.58E+00	0	0.217909	0									
ACOD1	ENSG00000102794	chr13	1.54E+00	9.92E-01	0	0.12466	0									
ACOT1	ENSG00000184227	chr14	9.21E-01	7.13E+00	0	0	0									
ACOT11	ENSG00000162390	chr1	1.09E+00	7.14E-01	0	0.355718	0									
ACOT12	ENSG00000172497	chr5	9.51E-01	-4.14E-01	0	0	0									
ACOT13	ENSG00000112304	chr6	1.44E+00	6.84E-02	0	0	0									
ACOT2	ENSG00000119673	chr14	1.15E+00	2.34E+00	0	0	0									
ACOT4	ENSG00000177465	chr14	1.56E+00	-3.03E-01	0	0	0									
ACOT6	ENSG00000205669	chr14	1.78E+00	5.23E-01	0	0	0									
ACOT7	ENSG00000097021	chr1	4.83E-01	2.51E+00	0	0	0									
ACOT8	ENSG00000101473	chr20	1.09E+00	1.01E+00	0	0	0									
ACOT9	ENSG00000123130	chrX	1.14E+00	7.14E-01	0	0	0									
ACOX1	ENSG00000161533	chr17	7.04E-01	3.06E+00	0	0	0									
ACOX2	ENSG00000168306	chr3	9.46E-01	6.24E-01	0	0.127581	0									
ACOX3	ENSG00000087008	chr4	1.09E+00	-2.65E-01	0	0.154461	0									
ACOXL	ENSG00000153093	chr2	1.19E+00	5.24E-01	0	0.84439	0									
ACP1	ENSG00000143727	chr2	1.39E+00	5.36E-01	0	0.368328	0									
ACP2	ENSG00000134575	chr11	8.48E-01	1.31E+00	0	0.076771	0									
ACP3	ENSG00000014257	chr3	1.09E+00	-5.46E-02	0	0.463045	0									
ACP4	ENSG00000142513	chr19	1.32E+00	-2.61E-01	0	0	0									
ACP5	ENSG00000102575	chr19	1.18E+00	1.42E+00	1	0	0									
ACP6	ENSG00000162836	chr1	1.27E+00	8.18E-01	0	0	0									
ACP7	ENSG00000183760	chr19	1.19E+00	3.89E-01	0	0	0									
ACR	ENSG00000100312	chr22	9.80E-01	1.58E+00	0	0	0									
ACRBP	ENSG00000111644	chr12	9.50E-01	1.13E+00	0	0	0									
ACRV1	ENSG00000134940	chr11	8.72E-01	5.28E-01	0	0	0									
ACSBG1	ENSG00000103740	chr15	6.35E-01	1.90E+00	0	0	0									
ACSBG2	ENSG00000130377	chr19	1.03E+00	1.31E+00	0	0	0									
ACSF2	ENSG00000167107	chr17	8.27E-01	2.14E+00	0	0	0									
ACSF3	ENSG00000176715	chr16	1.77E+00	-2.55E+00	0	0	0									
ACSL1	ENSG00000151726	chr4	5.41E-01	2.14E+00	0	0	0									
ACSL3	ENSG00000123983	chr2	5.34E-01	2.79E+00	0	0.127037	0									
ACSL4	ENSG00000068366	chrX	3.20E-01	3.08E+00	0	0	0									
ACSL5	ENSG00000197142	chr10	7.45E-01	8.20E-01	0	0.060882	0									
ACSL6	ENSG00000164398	chr5	6.10E-01	2.15E+00	0	0.414721	0									
ACSM1	ENSG00000166743	chr16	1.26E+00	7.01E-01	0	0	0									
ACSM2A	ENSG00000183747	chr16	1.14E+00	3.93E-01	0	0.067363	0									
ACSM2B	ENSG00000066813	chr16	9.18E-01	3.71E-01	0	0.065636	0									
ACSM3	ENSG00000005187	chr16	1.02E+00	5.98E-01	0	0	0									
ACSM4	ENSG00000215009	chr12	1.11E+00	1.11E+00	0	0.056083	0									
ACSM5	ENSG00000183549	chr16	9.78E-01	4.73E-02	0	0.061951	0									
ACSM6	ENSG00000173124	chr10	9.09E-01	1.32E+00	0	0	0									
ACSS1	ENSG00000154930	chr20	7.22E-01	2.14E+00	0	0	0									
ACSS2	ENSG00000131069	chr20	7.97E-01	2.16E+00	0	0	0									
ACSS3	ENSG00000111058	chr12	9.36E-01	7.62E-01	0	0.142037	0									
ACTA1	ENSG00000143632	chr1	9.75E-01	6.63E+00	0	0.065258	0									
ACTA2	ENSG00000107796	chr10	4.92E-01	5.02E+00	0	0.823945	0									
ACTB	ENSG00000075624	chr7	2.06E-01	8.78E+00	1	0.331713	0									
ACTBL2	ENSG00000169067	chr5	1.71E+00	-7.32E-01	0	0	0									
ACTC1	ENSG00000159251	chr15	5.36E-01	7.15E+00	0	0.064743	0									
ACTG1	ENSG00000184009	chr17	6.38E-01	5.50E+00	0	0	0.161063									
ACTG2	ENSG00000163017	chr2	6.46E-01	4.87E+00	0	0	0									
ACTL10	ENSG00000288649	chr20	NA	-1.21E+00	0	0	0									
ACTL6A	ENSG00000136518	chr3	1.78E-01	4.49E+00	0	0	0									
ACTL6B	ENSG00000077080	chr7	9.64E-01	3.96E+00	0	0.058714	0									
ACTL7A	ENSG00000187003	chr9	1.23E+00	1.04E-01	0	0	0									
ACTL7B	ENSG00000148156	chr9	1.25E+00	-4.47E-01	0	0	0									
ACTL8	ENSG00000117148	chr1	8.32E-01	2.14E+00	0	0.341028	0									
ACTL9	ENSG00000181786	chr19	5.23E+00	-5.41E-01	0	0.611926	0									
ACTN1	ENSG00000072110	chr14	3.40E-01	5.60E+00	0	0.541407	0									
ACTN2	ENSG00000077522	chr1	4.48E-01	2.31E+00	0	0.397753	0									
ACTN3	ENSG00000248746	chr11	9.06E-01	-7.19E-02	0	0.153674	0									
ACTN4	ENSG00000130402	chr19	2.34E-01	6.49E+00	0	0	0									
ACTR10	ENSG00000131966	chr14	9.87E-01	7.92E-01	0	0	0									
ACTR1A	ENSG00000138107	chr10	3.34E-01	4.59E+00	0	0.487068	0									
ACTR1B	ENSG00000115073	chr2	9.15E-01	9.59E-01	0	0.540265	0									
ACTR2	ENSG00000138071	chr2	2.10E-01	5.85E+00	0	0.552491	0									
ACTR3	ENSG00000115091	chr2	3.42E-01	4.34E+00	0	0.469711	0									
ACTR3B	ENSG00000133627	chr7	2.45E-01	5.58E+00	0	0.310386	0									
ACTR3C	ENSG00000106526	chr7	1.01E+00	1.80E+00	0	0.350332	0									
ACTR5	ENSG00000101442	chr20	9.07E-01	-2.40E-01	0	0	0									
ACTR6	ENSG00000075089	chr12	1.20E+00	2.52E+00	0	0	0									
ACTR8	ENSG00000113812	chr3	1.01E+00	1.58E+00	0	0.03322	0									
ACTRT1	ENSG00000123165	chrX	3.28E+00	-1.06E+00	0	0	0									
ACTRT2	ENSG00000169717	chr1	3.81E+00	1.89E-01	0	0	0									
ACTRT3	ENSG00000184378	chr3	1.31E+00	1.91E-01	0	0.438062	0									
ACVR1	ENSG00000115170	chr2	8.72E-01	2.96E+00	0	0	0									
ACVR1B	ENSG00000135503	chr12	4.16E-01	5.13E+00	0	0.032775	0									
ACVR1C	ENSG00000123612	chr2	5.63E-01	2.21E+00	0	0.493641	0									
ACVR2A	ENSG00000121989	chr2	2.14E-01	5.13E+00	0	0	0									
ACVR2B	ENSG00000114739	chr3	4.10E-01	3.28E+00	0	0	0									
ACVRL1	ENSG00000139567	chr12	5.60E-01	3.61E+00	0	0	0									
ACY1	ENSG00000243989	chr3	9.34E-01	1.04E+00	0	0	0									
ACY3	ENSG00000132744	chr11	1.18E+00	7.77E-02	0	0	0									
ACYP1	ENSG00000119640	chr14	1.38E+00	9.56E-01	0	0	0									
ACYP2	ENSG00000170634	chr2	1.74E+00	-1.35E+00	0	0	0									
ADA	ENSG00000196839	chr20	1.18E+00	5.39E-01	1	0	0									
ADA2	ENSG00000093072	chr22	8.94E-01	1.31E-01	1	0	0									
ADAD1	ENSG00000164113	chr4	8.81E-01	1.06E+00	0	0.722442	0									
ADAD2	ENSG00000140955	chr16	1.36E+00	-4.55E+00	0	0	0									
MAPDA	ENSG00000168803	chr15	1.20E+00	8.32E-01	0	0	0									
ADAM10	ENSG00000137845	chr15	2.83E-01	4.29E+00	0	0	0									
ADAM11	ENSG00000073670	chr17	5.22E-01	3.56E+00	0	0	0									
ADAM12	ENSG00000148848	chr10	8.03E-01	2.02E+00	0	0.511876	0									
ADAM15	ENSG00000143537	chr1	8.18E-01	2.00E+00	0	0.549425	0									
ADAM17	ENSG00000151694	chr2	5.27E-01	3.17E+00	1	0	0									
ADAM18	ENSG00000168619	chr8	1.45E+00	-8.06E-01	0	0.424051	0									
ADAM19	ENSG00000135074	chr5	6.96E-01	1.74E+00	0	0	0									
ADAM2	ENSG00000104755	chr8	1.20E+00	-9.97E-01	0	0	0									
ADAM20	ENSG00000134007	chr14	NA	1.75E-01	0	0	0									
ADAM21	ENSG00000139985	chr14	NA	2.83E+00	0	0	0									
ADAM22	ENSG00000008277	chr7	5.53E-01	2.61E+00	0	0	0									
ADAM23	ENSG00000114948	chr2	3.68E-01	2.57E+00	0	0.620846	0									
ADAM28	ENSG00000042980	chr8	1.22E+00	-1.15E+00	0	0	0									
ADAM29	ENSG00000168594	chr4	NA	4.42E-01	0	0.374974	0									
ADAM30	ENSG00000134249	chr1	NA	-8.54E-03	0	0.236755	0									
ADAM32	ENSG00000197140	chr8	9.24E-01	8.76E-01	0	0	0									
ADAM33	ENSG00000149451	chr20	1.14E+00	-3.01E-01	0	0	0									
ADAM7	ENSG00000069206	chr8	1.12E+00	-1.16E+00	0	0	0									
ADAM8	ENSG00000151651	chr10	1.20E+00	3.38E-01	0	0	0									
ADAM9	ENSG00000168615	chr8	6.27E-01	2.26E+00	0	0	0									
ADAMDEC1	ENSG00000134028	chr8	1.27E+00	-5.39E-01	0	0	0									
ADAMTS1	ENSG00000154734	chr21	3.17E-01	2.30E-01	0	0.66861	0									
ADAMTS10	ENSG00000142303	chr19	4.49E-01	4.68E+00	0	0	0									
ADAMTS12	ENSG00000151388	chr5	8.20E-01	7.90E-01	0	0	0									
ADAMTS13	ENSG00000160323	chr9	8.31E-01	1.81E+00	0	0	0									
ADAMTS14	ENSG00000138316	chr10	9.18E-01	1.01E+00	0	0.414186	0									
ADAMTS15	ENSG00000166106	chr11	5.87E-01	-6.26E-02	0	0	0									
ADAMTS16	ENSG00000145536	chr5	7.65E-01	6.94E-02	0	0.408335	0									
ADAMTS17	ENSG00000140470	chr15	9.34E-01	-1.54E+00	0	0.610235	0									
ADAMTS18	ENSG00000140873	chr16	1.08E+00	-5.51E+00	0	0	0									
ADAMTS19	ENSG00000145808	chr5	7.21E-01	7.59E-01	0	0.04301	0									
ADAMTS2	ENSG00000087116	chr5	5.14E-01	2.18E+00	0	0.665633	0									
ADAMTS20	ENSG00000173157	chr12	9.66E-01	-5.50E-01	0	0.124405	0									
ADAMTS3	ENSG00000156140	chr4	6.88E-01	6.30E-01	0	0.638431	0									
ADAMTS4	ENSG00000158859	chr1	7.47E-01	1.31E+00	0	0.268648	0									
ADAMTS5	ENSG00000154736	chr21	8.32E-01	4.37E-01	0	0	0									
ADAMTS6	ENSG00000049192	chr5	2.26E-01	4.37E+00	0	0.506669	0									
ADAMTS7	ENSG00000136378	chr15	6.15E-01	3.36E+00	0	0	0									
ADAMTS8	ENSG00000134917	chr11	9.83E-01	1.98E-01	0	0	0									
ADAMTS9	ENSG00000163638	chr3	4.89E-01	9.97E-01	0	0.481771	0									
ADAMTSL1	ENSG00000178031	chr9	7.24E-01	-3.59E+00	0	0.479996	0									
ADAMTSL2	ENSG00000197859	chr9	5.88E-01	2.00E+00	0	0	0									
ADAMTSL3	ENSG00000156218	chr15	7.35E-01	1.20E+00	0	0.504459	0									
ADAMTSL4	ENSG00000143382	chr1	9.35E-01	5.09E-01	0	0.04979	0									
ADAMTSL5	ENSG00000185761	chr19	1.29E+00	-1.54E+00	0	0	0									
ADAP1	ENSG00000105963	chr7	7.62E-01	-4.25E-01	0	0.686349	0									
ADAP2	ENSG00000184060	chr17	9.90E-01	1.00E+00	0	0.031768	0									
ADAR	ENSG00000160710	chr1	4.70E-01	3.25E+00	1	0	0									
ADARB1	ENSG00000197381	chr21	3.24E-01	3.92E+00	0	0	0									
ADARB2	ENSG00000185736	chr10	5.61E-01	8.37E-02	0	0.524535	0									
ADAT1	ENSG00000065457	chr16	1.23E+00	-2.29E+00	0	0	0									
ADAT2	ENSG00000189007	chr6	1.39E+00	6.76E-01	0	0.159817	0									
ADAT3	ENSG00000213638	chr19	1.79E+00	-2.92E+00	0	0	0									
ADCK1	ENSG00000063761	chr14	1.02E+00	3.53E-01	0	0.038779	0									
ADCK2	ENSG00000133597	chr7	9.31E-01	1.56E+00	0	0	0									
ADCK5	ENSG00000173137	chr8	8.54E-01	7.56E-01	0	0	0									
ADCY1	ENSG00000164742	chr7	3.64E-01	5.15E+00	0	0	0									
ADCY10	ENSG00000143199	chr1	9.72E-01	1.84E+00	0	0	0									
ADCY2	ENSG00000078295	chr5	3.34E-01	5.82E+00	0	0.585284	0									
ADCY3	ENSG00000138031	chr2	7.15E-01	3.30E+00	0	0.754074	0									
ADCY4	ENSG00000129467	chr14	1.04E+00	1.46E+00	0	0	0									
ADCY5	ENSG00000173175	chr3	3.40E-01	4.57E+00	0	0.454581	0									
ADCY6	ENSG00000174233	chr12	6.57E-01	3.78E+00	0	0	0									
ADCY7	ENSG00000121281	chr16	7.26E-01	2.87E+00	0	0.859311	0									
ADCY8	ENSG00000155897	chr8	5.38E-01	2.30E+00	0	0.536024	0									
ADCY9	ENSG00000162104	chr16	6.24E-01	1.39E+00	0	0.556918	0									
ADCYAP1	ENSG00000141433	chr18	6.41E-01	-1.62E+00	0	0.399845	0									
ADCYAP1R1	ENSG00000078549	chr7	8.36E-01	1.95E+00	0	0	0									
ADD1	ENSG00000087274	chr4	4.19E-01	9.48E-01	0	0	0									
ADD2	ENSG00000075340	chr2	3.92E-01	2.59E+00	0	0	0									
ADD3	ENSG00000148700	chr10	4.35E-01	2.71E-01	0	0	0									
ADGB	ENSG00000118492	chr6	9.27E-01	-5.79E-01	0	0	0									
ADGRA1	ENSG00000197177	chr10	9.11E-01	2.35E-01	0	0.438588	0									
ADGRA2	ENSG00000020181	chr8	7.65E-01	1.46E+00	0	0	0									
ADGRA3	ENSG00000152990	chr4	5.84E-01	1.40E+00	0	0	0									
ADGRB1	ENSG00000181790	chr8	2.71E-01	4.71E+00	0	0.034006	0									
ADGRB2	ENSG00000121753	chr1	3.35E-01	5.45E+00	0	0	0									
ADGRB3	ENSG00000135298	chr6	2.52E-01	2.14E+00	0	0.351864	0									
ADGRD1	ENSG00000111452	chr12	8.21E-01	1.30E+00	0	0.138357	0									
ADGRD2	ENSG00000180264	chr9	1.95E+00	-9.92E+00	0	0.069101	0									
ADGRE1	ENSG00000174837	chr19	9.60E-01	6.90E-01	0	0	0									
ADGRE2	ENSG00000127507	chr19	9.88E-01	2.94E+00	0	0	0									
ADGRE3	ENSG00000131355	chr19	1.31E+00	9.42E-01	0	0	0									
ADGRE5	ENSG00000123146	chr19	8.74E-01	1.75E+00	0	0.195292	0									
ADGRF1	ENSG00000153292	chr6	1.17E+00	-1.19E+00	0	0.364233	0									
